Avales ICO primera vivienda jovenes | estatal | vivienda | https://www.boe.es/boe/dias/2024/05/09/pdfs/BOE-A-2024-9128.pdf
Becas generales postobligatorias 2026-2027 | estatal | formacion | https://www.boe.es/boe/dias/2026/03/25/pdfs/BOE-B-2026-9261.pdf
Becas apoyo educativo 2026-2027 | estatal | formacion | https://www.boe.es/boe/dias/2026/05/08/pdfs/BOE-B-2026-14562.pdf
Becas inmersion linguistica ingles 2026 | estatal | formacion | https://www.boe.es/boe/dias/2026/02/05/pdfs/BOE-B-2026-3168.pdf
Becas ICEX 51 promocion | estatal | formacion | https://becas.icex.es/content/dam/icex-scholarships/documentos/becas-icex-51-promocion/dp/convocatoria-becas-icex-51.pdf
Cuerpo Europeo de Solidaridad 2026 | estatal | formacion | https://www.boe.es/boe/dias/2026/05/15/pdfs/BOE-B-2026-15552.pdf
TandEM menores de 30 | estatal | empleo | https://www.boe.es/boe/dias/2026/03/03/pdfs/BOE-B-2026-6521.pdf
Injuve Creacion Joven 2026-2027 | estatal | empleo | https://www.injuve.es/sites/default/files/adjuntos/2026/05/260407%20Resoluci%C3%B3n%20Conv.%20A.%20Creaci%C3%B3n%2026_27.pdf.xsig_.pdf
Certamen Nacional Jovenes Emprendedores 2026 | estatal | empleo | https://www.injuve.es/sites/default/files/adjuntos/2026/04/Resolucion_convocatoria_CertNJEmprendedores26.pdf.xsig_.pdf
